No,Xpos,Ypos,Vmag,V-I
1,281.22,2.77,21.056,2.31
2,232.15,6.34,20.389,3.0
3,729.36,8.91,21.445,3.299
4,552.54,10.87,20.432,3.771
5,867.27,13.52,21.919,3.188
6,262.47,16.05,21.116,3.369
7,886.76,17.86,21.565,2.426
8,784.09,19.47,22.625,2.646
9,661.4,19.49,21.701,3.439
10,536.1,20.36,20.629,3.23
11,979.2,20.45,21.796,2.617
12,595.2,20.59,20.753,3.242
13,627.88,22.82,22.997,2.992
14,199.33,24.5,22.705,3.264
15,381.47,25.17,20.414,2.348
16,447.73,28.38,21.146,2.395
17,864.91,31.16,22.188,3.211
18,467.55,31.18,22.636,3.142
19,1008.35,32.12,19.647,3.354
20,117.47,33.33,21.106,2.3
21,456.84,37.66,20.297,5.315
22,96.0,40.56,21.469,3.448
23,640.76,45.04,22.308,2.906
24,807.69,45.45,19.992,2.461
25,258.86,47.54,20.597,3.178
26,174.41,49.35,21.419,3.226
27,595.69,49.6,20.324,3.313
28,140.55,52.17,21.818,3.209
29,876.83,52.19,21.28,2.694
30,541.6,54.9,22.026,3.03
31,115.51,55.91,22.278,3.345
32,999.64,57.41,22.039,2.719
33,394.6,58.64,21.7,3.051
34,-1.22,60.72,20.964,3.278
35,840.02,61.75,20.832,3.435
36,443.3,70.88,21.193,2.642
37,188.73,76.23,21.153,3.337
38,896.15,77.84,21.495,3.193
39,705.15,79.32,19.929,3.382
40,64.12,80.13,21.351,3.168
41,260.57,82.24,21.053,3.324
42,982.07,83.1,22.01,3.155
43,169.96,83.46,22.175,2.927
44,857.94,83.66,18.325,3.426
45,727.94,84.36,20.377,2.904
46,120.86,85.39,20.651,3.175
47,575.89,86.03,21.389,3.327
48,714.65,86.28,21.884,3.011
49,167.91,90.17,21.808,2.687
50,692.24,92.57,22.154,3.149
51,80.93,92.58,20.88,2.427
52,914.9,93.59,23.189,3.162
53,662.87,95.76,20.387,2.977
54,74.05,96.59,21.95,3.186
55,125.87,97.43,20.691,3.203
56,622.95,99.13,23.175,2.988
