recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,B-V,e_B-V,ID
1,467.715,401.402,15.463,0.007,1.078,0.023,0.855,0.009,22.0
2,660.248,430.507,14.167,0.008,1.329,0.025,1.188,0.009,23.0
3,560.289,457.051,14.735,0.012,1.025,0.025,0.89,0.023,26.0
4,430.919,479.628,14.813,0.006,1.191,0.019,1.0,0.008,29.0
5,742.061,548.764,15.626,0.01,1.136,0.022,0.923,0.01,35.0
6,524.749,560.837,15.564,0.008,1.08,0.022,0.855,0.009,36.0
7,582.879,614.064,15.375,0.007,1.172,0.025,0.972,0.007,38.0
8,638.686,639.723,14.474,0.007,1.315,0.023,1.148,0.008,41.0
9,596.223,649.213,15.599,0.007,1.136,0.03,0.953,0.007,42.0
10,690.336,701.894,14.441,0.011,1.293,0.026,1.123,0.017,51.0
11,552.237,743.07,15.061,0.008,1.218,0.027,1.026,0.009,57.0
12,560.51,468.747,14.196,0.008,1.347,0.023,1.203,0.009,74.0
13,394.233,304.987,19.988,0.012,0.732,0.02,0.5,0.016,1310.0
14,394.079,312.109,20.81,0.021,0.784,0.037,0.538,0.028,1345.0
15,445.74,324.386,20.003,0.015,0.714,0.026,0.472,0.019,1356.0
16,410.699,314.004,20.926,0.029,0.716,0.04,0.492,0.037,1359.0
17,419.557,321.063,19.291,0.007,0.72,0.014,0.5,0.009,1363.0
18,416.69,314.882,18.129,0.004,0.934,0.009,0.806,0.006,1365.0
19,411.533,320.893,21.981,0.068,1.068,0.095,0.843,0.097,1398.0
20,429.014,321.12,19.228,0.01,0.888,0.016,0.571,0.03,1399.0
21,425.983,326.651,20.527,0.016,0.765,0.031,0.349,0.049,1400.0
22,394.031,324.345,21.119,0.024,0.788,0.036,0.567,0.034,1417.0
23,457.598,328.653,19.619,0.035,0.596,0.044,0.47,0.05,1422.0
24,470.45,326.077,20.57,0.018,0.797,0.027,0.382,0.048,1424.0
25,438.002,326.406,19.187,0.023,0.832,0.03,0.629,0.032,1427.0
26,474.629,327.946,21.451,0.062,0.833,0.072,0.464,0.075,1432.0
27,416.452,328.138,20.692,0.046,0.714,0.1,0.61,0.058,1433.0
28,484.452,330.797,20.917,0.067,0.82,0.086,0.602,0.097,1455.0
29,410.327,332.164,20.071,0.012,0.735,0.022,0.489,0.016,1464.0
30,427.492,332.399,21.654,0.061,0.881,0.083,0.557,0.087,1469.0
31,447.6,333.75,21.294,0.046,0.739,0.065,0.542,0.063,1477.0
32,458.214,335.448,20.68,0.031,0.653,0.045,0.486,0.045,1487.0
33,475.214,335.507,19.464,0.009,0.837,0.017,0.602,0.013,1488.0
34,505.049,335.551,19.322,0.015,0.807,0.028,0.594,0.019,1490.0
35,486.575,338.02,20.059,0.025,0.705,0.045,0.508,0.031,1505.0
36,507.952,340.398,19.142,0.008,0.884,0.016,0.68,0.011,1515.0
37,440.236,341.516,16.487,0.004,1.044,0.008,0.835,0.006,1522.0
38,489.72,341.824,20.525,0.059,0.761,0.081,0.447,0.086,1524.0
39,412.057,343.637,18.654,0.015,0.863,0.021,0.653,0.023,1537.0
40,518.518,344.006,17.061,0.003,0.153,0.007,0.063,0.005,1538.0
41,475.963,344.563,21.017,0.025,0.827,0.044,0.609,0.037,1542.0
42,470.698,345.43,20.919,0.027,0.828,0.056,0.504,0.081,1548.0
43,450.949,346.682,21.476,0.04,0.808,0.062,0.531,0.063,1556.0
44,399.342,349.014,20.356,0.019,0.747,0.028,0.446,0.026,1567.0
45,509.895,355.836,20.09,0.018,0.691,0.028,0.458,0.026,1575.0
46,392.378,353.611,19.964,0.012,0.75,0.034,0.531,0.017,1584.0
47,413.659,354.508,20.303,0.018,0.746,0.038,0.545,0.026,1588.0
48,497.359,358.636,21.113,0.027,0.852,0.042,0.51,0.04,1605.0
49,439.282,360.239,19.723,0.012,0.746,0.019,0.529,0.018,1607.0
50,476.077,359.261,18.622,0.009,0.946,0.014,0.712,0.011,1610.0
51,413.59,360.193,21.824,0.062,0.998,0.084,0.451,0.072,1617.0
52,517.948,361.186,20.743,0.026,0.852,0.051,0.538,0.073,1621.0
53,565.841,361.543,21.905,0.055,0.925,0.092,0.725,0.087,1623.0
54,427.843,361.753,20.806,0.024,0.758,0.042,0.486,0.031,1625.0
55,560.604,361.847,20.689,0.018,0.764,0.042,0.544,0.025,1626.0
56,594.35,363.849,19.155,0.025,0.664,0.051,0.503,0.035,1627.0
57,553.397,364.432,20.814,0.029,0.808,0.04,0.544,0.04,1638.0
58,380.272,364.469,20.1,0.014,0.718,0.024,0.49,0.02,1640.0
59,486.291,364.582,21.087,0.036,0.779,0.055,0.569,0.046,1642.0
60,568.958,366.798,19.794,0.014,0.736,0.025,0.51,0.02,1647.0
61,541.427,366.054,19.381,0.032,0.63,0.045,0.467,0.047,1648.0
62,410.49,366.067,20.635,0.035,0.729,0.059,0.578,0.051,1649.0
63,604.877,366.385,20.011,0.013,0.714,0.021,0.508,0.015,1651.0
64,548.357,366.939,19.566,0.009,0.785,0.016,0.534,0.012,1655.0
65,383.562,367.813,19.905,0.025,0.669,0.055,0.495,0.032,1657.0
66,528.429,368.025,19.874,0.015,0.676,0.022,0.347,0.057,1658.0
67,585.852,368.083,19.675,0.009,0.789,0.015,0.508,0.013,1660.0
68,482.517,368.307,20.885,0.027,0.746,0.042,0.534,0.034,1664.0
69,592.094,368.748,19.285,0.006,0.766,0.013,0.532,0.011,1667.0
70,559.67,370.109,18.993,0.009,0.92,0.014,0.694,0.014,1671.0
71,579.536,370.432,19.667,0.011,0.759,0.021,0.525,0.014,1672.0
72,403.463,371.172,21.462,0.054,0.861,0.082,0.531,0.073,1674.0
73,398.576,371.142,20.095,0.019,0.76,0.029,0.512,0.024,1675.0
74,391.51,371.697,20.198,0.013,0.714,0.024,0.505,0.021,1678.0
75,490.336,375.252,21.161,0.042,0.781,0.065,0.512,0.055,1681.0
76,380.115,372.493,20.464,0.056,0.649,0.1,0.576,0.074,1684.0
77,618.267,373.807,20.243,0.036,0.722,0.07,0.587,0.048,1689.0
78,634.619,376.789,19.773,0.014,0.725,0.023,0.485,0.018,1701.0
79,387.563,382.839,20.063,0.018,0.668,0.031,0.445,0.034,1712.0
80,624.301,378.942,19.597,0.01,2.348,0.013,1.618,0.022,1713.0
81,499.699,384.171,20.611,0.033,0.773,0.041,0.526,0.04,1714.0
82,563.758,379.806,20.287,0.013,0.706,0.021,0.469,0.019,1719.0
83,396.184,380.34,20.237,0.018,0.704,0.028,0.499,0.022,1721.0
84,638.142,382.102,19.573,0.01,0.755,0.014,0.5,0.014,1728.0
85,603.898,382.672,16.997,0.003,0.174,0.008,0.069,0.006,1731.0
86,373.238,382.615,16.785,0.003,0.189,0.008,0.078,0.007,1732.0
87,462.447,383.463,21.169,0.063,0.693,0.101,0.783,0.075,1735.0
88,568.266,384.912,19.574,0.009,0.774,0.015,0.538,0.017,1741.0
89,567.334,389.185,19.759,0.012,0.738,0.022,0.483,0.019,1742.0
90,433.279,385.144,21.559,0.061,1.018,0.101,0.905,0.09,1743.0
91,418.725,385.12,17.313,0.004,0.989,0.01,0.767,0.007,1746.0
92,513.61,385.342,20.807,0.022,0.884,0.041,0.64,0.034,1748.0
93,546.824,386.546,16.586,0.003,0.272,0.009,0.135,0.004,1751.0
94,439.207,386.7,20.463,0.022,0.755,0.044,0.509,0.036,1752.0
95,505.546,387.178,19.327,0.009,0.371,0.019,0.397,0.018,1755.0
96,683.685,387.718,16.953,0.005,0.92,0.009,0.859,0.008,1757.0
97,696.023,388.558,20.239,0.049,0.6,0.106,0.564,0.063,1760.0
98,516.401,392.341,19.732,0.016,0.758,0.024,0.456,0.028,1762.0
99,393.978,389.924,20.648,0.024,0.767,0.04,0.51,0.032,1766.0
100,556.104,390.144,20.912,0.023,0.732,0.036,0.591,0.035,1768.0
101,419.067,391.538,21.144,0.048,0.761,0.068,0.607,0.066,1772.0
102,636.633,392.429,20.723,0.026,0.812,0.037,0.448,0.038,1776.0
103,672.939,394.33,19.653,0.006,0.769,0.013,0.515,0.024,1782.0
104,694.532,396.654,19.986,0.02,0.707,0.028,0.493,0.028,1789.0
105,455.7,397.165,16.832,0.004,0.201,0.01,0.08,0.005,1791.0
106,479.551,398.674,18.25,0.01,0.96,0.018,0.733,0.015,1801.0
107,369.25,399.53,21.642,0.048,0.856,0.066,0.7,0.074,1803.0
108,561.209,400.209,17.339,0.003,0.967,0.007,0.748,0.006,1807.0
109,721.67,403.338,21.303,0.029,0.836,0.046,0.544,0.041,1809.0
110,594.6,403.988,19.364,0.024,0.778,0.038,0.588,0.033,1819.0
111,444.966,403.916,20.84,0.046,0.714,0.087,0.633,0.06,1820.0
112,716.285,404.997,20.556,0.022,0.703,0.033,0.489,0.033,1823.0
