recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
1,435.757,4.623,20.351,0.022,0.694,0.03,20011.0
2,436.187,8.448,24.137,0.134,1.279,0.145,20011.01
3,440.283,10.972,22.37,0.063,0.866,0.074,20011.02
4,442.846,10.836,21.751,0.039,0.852,0.048,20011.03
5,446.303,8.836,21.608,0.025,0.771,0.031,20011.04
6,699.998,1.742,23.369,0.156,0.867,0.288,20040.01
7,667.053,3.802,22.724,0.12,0.588,0.292,20046.01
8,174.242,2.742,22.94,0.11,1.143,0.186,20048.0
9,213.063,2.788,22.279,0.062,0.956,0.102,20049.0
10,453.305,7.616,22.873,0.077,1.078,0.119,20050.01
11,455.576,10.74,22.615,0.028,0.913,0.061,20050.02
12,590.009,2.732,23.559,0.157,0.989,0.267,20052.0
13,590.562,6.883,21.768,0.051,0.819,0.059,20052.01
14,602.345,7.037,22.565,0.096,0.972,0.116,20053.01
15,604.285,7.677,21.604,0.068,0.817,0.086,20053.02
16,19.81,4.297,23.739,0.164,1.107,0.17,20055.0
17,263.528,4.338,22.771,0.075,1.151,0.092,20057.0
18,492.121,3.643,23.002,0.117,0.959,0.134,20058.0
19,492.97,7.305,22.072,0.124,0.802,0.128,20058.01
20,63.309,4.741,20.213,0.015,0.697,0.046,20061.0
21,105.672,5.189,23.888,0.234,1.134,0.262,20063.0
22,102.302,7.052,23.964,0.165,2.046,0.221,20063.01
23,102.771,11.342,20.558,0.011,0.735,0.069,20063.02
24,277.151,4.471,21.762,0.039,0.874,0.057,20064.0
25,291.984,4.717,23.905,0.139,1.325,0.195,20066.0
26,46.205,6.28,21.085,0.013,0.729,0.025,20068.0
27,53.956,5.556,20.952,0.021,0.73,0.033,20069.0
28,231.036,6.068,20.53,0.037,0.72,0.049,20070.0
29,225.911,11.708,20.94,0.02,0.723,0.032,20070.01
30,309.071,5.876,23.656,0.157,1.233,0.201,20071.0
31,365.118,6.227,22.936,0.045,0.972,0.065,20072.0
32,362.377,8.923,21.906,0.028,0.881,0.039,20072.01
33,364.901,12.623,22.882,0.091,0.983,0.094,20072.02
34,613.577,5.785,23.05,0.155,0.963,0.206,20073.0
35,36.791,6.963,22.994,0.08,0.995,0.137,20074.0
36,169.412,6.875,24.488,0.248,1.328,0.308,20076.0
37,178.647,6.924,21.125,0.055,0.819,0.068,20077.0
38,238.919,6.598,24.733,0.278,1.341,0.367,20078.0
39,388.284,6.748,21.129,0.028,0.759,0.035,20079.0
40,390.995,12.381,23.513,0.083,1.102,0.134,20079.01
41,395.532,9.263,21.289,0.028,0.877,0.031,20079.02
42,467.927,6.979,21.196,0.038,0.861,0.054,20080.0
43,632.202,6.75,23.855,0.119,1.17,0.142,20084.0
44,631.191,9.43,22.17,0.028,0.947,0.081,20084.01
45,625.291,10.585,20.747,0.027,0.734,0.035,20084.02
46,628.648,13.881,24.251,0.184,1.745,0.19,20084.04
47,410.301,7.458,24.71,0.302,1.243,0.352,20085.0
48,408.461,10.58,21.347,0.023,0.777,0.081,20085.01
49,549.284,7.736,20.411,0.026,0.748,0.055,20088.0
50,551.559,9.577,23.217,0.097,1.135,0.24,20088.01
51,113.178,8.599,23.49,0.077,1.108,0.14,20090.0
52,113.044,10.878,24.052,0.127,1.197,0.174,20090.01
53,112.591,14.312,23.531,0.133,1.055,0.142,20090.02
54,336.363,9.385,24.237,0.337,1.421,0.348,20091.0
55,415.138,9.211,25.33,0.221,1.558,0.299,20094.0
56,26.327,10.364,20.918,0.017,0.72,0.027,20096.0
57,31.455,10.562,23.049,0.106,1.057,0.128,20096.01
